1469.25,QQQ,SOXX,TQQQ,SOXL,TECL,SGOV
2010-01-04,46.42,16.61,,,1.03,
2010-01-05,46.42,16.58,,,1.03,
2010-01-06,46.14,16.53,,,1.01,
2010-01-07,46.17,16.4,,,1.0,
2010-01-08,46.55,16.65,,,1.02,
2010-01-11,46.36,16.6,,,1.0,
2010-01-12,45.78,16.02,,,0.97,
2010-01-13,46.35,16.21,,,0.99,
2010-01-14,46.39,16.18,,,1.02,
2010-01-15,45.85,15.65,,,0.98,
2010-01-19,46.59,15.83,,,1.01,
2010-01-20,45.92,15.83,,,0.98,
2010-01-21,45.49,15.73,,,0.95,
2010-01-22,44.16,14.99,,,0.84,
2010-01-25,44.31,15.2,,,0.85,
2010-01-26,44.35,15.06,,,0.85,
2010-01-27,44.7,15.27,,,0.87,
2010-01-28,43.55,14.82,,,0.79,
2010-01-29,42.79,14.33,,,0.74,
2010-02-01,43.26,14.81,,,0.77,
2010-02-02,43.65,14.97,,,0.79,
2010-02-03,43.89,14.96,,,0.8,
2010-02-04,42.62,14.32,,,0.74,
2010-02-05,42.98,14.64,,,0.76,
2010-02-08,42.67,14.58,,,0.75,
2010-02-09,43.11,14.76,,,0.77,
2010-02-10,43.02,14.85,,,0.76,
2010-02-11,43.67,15.15,0.22,,0.8,
2010-02-12,43.76,15.29,0.22,,0.8,
2010-02-16,44.32,15.62,0.23,,0.84,
2010-02-17,44.57,15.61,0.23,,0.85,
2010-02-18,44.85,15.66,0.23,,0.87,
2010-02-19,44.83,15.71,0.23,,0.86,
2010-02-22,44.74,15.68,0.23,,0.86,
2010-02-23,44.16,15.27,0.22,,0.82,
2010-02-24,44.61,15.56,0.23,,0.85,
2010-02-25,44.6,15.5,0.23,,0.84,
2010-02-26,44.76,15.47,0.23,,0.84,
2010-03-01,45.41,15.84,0.24,,0.88,
2010-03-02,45.55,15.84,0.24,,0.87,
2010-03-03,45.6,15.76,0.25,,0.87,
2010-03-04,45.75,15.75,0.25,,0.89,
2010-03-05,46.44,15.92,0.26,,0.92,
2010-03-08,46.53,15.92,0.26,,0.93,
2010-03-09,46.79,15.87,0.26,,0.94,
2010-03-10,47.17,16.18,0.27,,0.96,
2010-03-11,47.35,16.08,0.27,0.66,0.97,
2010-03-12,47.36,16.05,0.27,0.64,0.97,
2010-03-15,47.24,15.88,0.27,0.62,0.96,
2010-03-16,47.54,16.32,0.28,0.67,0.98,
2010-03-17,47.67,16.58,0.28,0.7,1.0,
2010-03-18,47.83,16.43,0.28,0.68,1.0,
2010-03-19,47.49,16.2,0.28,0.65,0.97,
2010-03-22,47.92,16.52,0.29,0.7,1.0,
2010-03-23,48.25,16.85,0.29,0.74,1.0,
2010-03-24,48.02,16.46,0.29,0.7,0.98,
2010-03-25,47.95,16.45,0.29,0.7,0.99,
2010-03-26,48.0,16.38,0.29,0.69,0.98,
2010-03-29,48.23,16.49,0.29,0.71,0.98,
2010-03-30,48.39,16.59,0.29,0.72,0.99,
2010-03-31,48.16,16.47,0.29,0.71,0.98,
2010-04-01,48.16,16.47,0.29,0.71,0.97,
2010-04-05,48.61,16.94,0.3,0.77,1.01,
